COG_ID	COG_Category_ID	Annotation	Gene	Pathway
COG2843	M	"Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily"	CapA	
COG2844	OT	UTP:GlnB (protein PII) uridylyltransferase	GlnD	
COG2845	S	"Uncharacterized conserved protein, DUF459 domain"		
COG2846	O	"Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains"	RIC	
COG2847	P	Copper(I)-binding protein		
COG2848	D	"Uncharacterized conserved protein, UPF0210 family"		
COG2849	V	Antitoxin component YwqK of the YwqJK toxin-antitoxin module	YwqK	
COG2850	J	"Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain"	RoxA	
COG2851	C	Mg2+/citrate symporter	CitM	
COG2852	L	Very-short-patch-repair endonuclease	YcjD	
COG2853	M	Lipoprotein subunit MlaA of the ABC-type intermembrane phospholipid transporter Mla	MlaA	
COG2854	M	Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla	MlaC	
COG2855	S	"Uncharacterized membrane protein YadS, UPF0324 family"	YeiH	
COG2856	O	"Zn-dependent peptidase ImmA, M78 family"	ImmA	
COG2857	C	Cytochrome c1	CYT1	
COG2859	M	"Outer membrane channel-forming protein BP26/OMP28, SIMPL family"	SIMPL	
COG2860	S	Uncharacterized membrane protein YeiH	YadS	
COG2861	G	"Uncharacterized conserved protein YibQ, putative polysaccharide deacetylase 2 family"	YibQ	
COG2862	S	Uncharacterized membrane protein YqhA	YqhA	
COG2863	C	Cytochrome c553	CytC553	
COG2864	C	Cytochrome b subunit of formate dehydrogenase	FdnI	
COG2865	K	"Predicted transcriptional regulator, contains HTH domain"		
COG2866	M	Murein tripeptide amidase MpaA	MpaA	
COG2867	J	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module	PasT	
COG2868	S	"Uncharacterized conserved protein YsxB, DUF464 family"	YsxB	
COG2869	C	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC"	NqrC	Na+-translocating NADH dehydrogenase
COG2870	M	"ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase"	RfaE	
COG2871	C	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF"	NqrF	Na+-translocating NADH dehydrogenase
COG2872	J	Ser-tRNA(Ala) deacylase AlaX (editing enzyme)	AlaX	
COG2873	E	"O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent"	MET17	Methionine biosynthesis
COG2874	N	Archaellum biogenesis ATPase ArlH/FlaH	FlaH	
COG2875	H	Precorrin-4 methylase	CobM	Cobalamine/B12 biosynthesis
COG2876	E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	AroGA	Aromatic amino acid biosynthesis
COG2877	M	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase	KdsA	Lipid A biosynthesis
COG2878	C	"Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit"	RnfB	Na+-translocating Fd:NADH oxidoreductase
COG2879	S	"Uncharacterized short protein YbdD, DUF466 family"	YbdD	
COG2880	R	"Predicted DNA-binding protein, potential antitoxin AbrB/MazE fold"		
COG2881	R	GTPase-interacting Yip1 domain	Yip1	
COG2882	N	Flagellar biosynthesis chaperone FliJ	FliJ	
COG2884	D	Cell division ATPase FtsE	FtsE	
COG2885	M	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	OmpA	
COG2886	R	"Predicted antitoxin, contains HTH domain"		
COG2887	L	RecB family exonuclease	Slr0479	
COG2888	R	"Predicted RNA-binding protein involved in translation, contains  Zn-ribbon domain, DUF1610 family"		
COG2890	J	Methylase of polypeptide chain release factors	HemK	
COG2891	M	Cell shape-determining protein MreD	MreD	
COG2892	J	"tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Pcc1 subunit"	Pcc1	tRNA modification
COG2893	G	"Phosphotransferase system, mannose/fructose-specific component IIA"	ManX	
COG2894	D	Septum site-determining ATPase MinD	MinD	
COG2895	P	"Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family"	CysN	Cysteine biosynthesis
COG2896	H	"GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA)"	MoaA	Molybdopterin biosynthesis
COG2897	P	"3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains"	SseA	
COG2898	I	"Lysylphosphatidylglycerol synthetase MprF, lysyl-tRNA-binding C-terminal domain"	MprF2	
COG2899	P	"Uncharacterized TerC-related membrane protein, DUF475 domain"	TerC2	
COG2900	S	Uncharacterized coiled-coil protein SlyX (sensitive to lysis X)	SlyX	
COG2901	K	DNA-binding protein Fis (factor for inversion stimulation)	Fis	
COG2902	E	NAD-specific glutamate dehydrogenase	Gdh2	
COG2904	J	"NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain"	QueFN	
COG2905	T	"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains"		
COG2906	P	Bacterioferritin-associated ferredoxin	Bfd	
COG2907	R	Predicted flavin-containing amine oxidase	Ppro0129	
COG2908	M	"UDP-2,3-diacylglucosamine pyrophosphatase LpxH"	LpxH	
COG2909	K	"ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT"	MalT	
COG2910	R	Putative NADH-flavin reductase	YwnB	
COG2911	U	Autotransporter translocation and assembly protein TamB	TamB	
COG2912	T	"Regulator of sirC expression, contains transglutaminase-like and TPR domains"	SirB1	
COG2913	M	"Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex"	BamE	
COG2914	V	"Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily"	PasI	
COG2915	XT	"Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation"	HflD	
COG2916	K	DNA-binding protein H-NS	Hns	
COG2917	D	Intracellular septation protein A	YciB	
COG2918	H	Gamma-glutamylcysteine synthetase	GshA	
COG2919	D	Cell division protein FtsB	FtsB	
COG2920	J	"Sulfur transfer complex TusBCD TusE component, DsrC family (tRNA 2-thiouridine synthesizing protein C)"	TusE	
COG2921	T	"Putative lipoate-binding regulatory protein, UPF0250 family"	YbeD	
COG2922	S	"Uncharacterized conserved protein Smg, DUF494 family"	Smg	
COG2923	J	"Sulfur transfer complex TusBCD TusC component, DsrF family"	DsrF	
COG2924	PO	Fe-S cluster biosynthesis and repair protein YggX	YggX	
COG2925	L	Exonuclease I (degrades ssDNA)	SbcB	
COG2926	S	"Uncharacterized conserved protein YeeX, DUF496 family"	YeeX	
COG2927	L	"DNA polymerase III, chi subunit"	HolC	
COG2928	S	Uncharacterized membrane protein		
COG2929	S	"Uncharacterized conserved protein, DUF497 family"		
COG2930	I	"Lipid-binding SYLF domain, Ysc84/FYVE family"	SYLF	
COG2931	Q	"Ca2+-binding protein, RTX toxin-related"		
COG2932	X	"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains"		
COG2933	J	23S rRNA C2498 (ribose-2'-O)-methylase RlmM	RlmM	23S rRNA modification
COG2935	O	Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase	Ate1	
COG2936	R	Predicted acyl esterase		
COG2937	I	Glycerol-3-phosphate O-acyltransferase	PlsB	Phospholipid biosynthesis
COG2938	O	"Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module"	SdhE	
COG2939	E	Carboxypeptidase C (cathepsin A)	Kex1	
COG2940	R	SET domain-containing protein (function unknown)	SET	
COG2941	H	"Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family (ubiquinone biosynthesis)"	Coq7	Ubiquinone biosynthesis
COG2942	G	"Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family"	YihS	
COG2943	MG	Membrane glycosyltransferase	MdoH	
COG2944	K	"DNA-binding transcriptional regulator YiaG, XRE-type HTH domain"	YiaG	
COG2945	R	Alpha/beta superfamily hydrolase		
COG2946	L	DNA relaxase NicK	NicK	
COG2947	R	"Predicted RNA-binding protein, contains EVE domain"	EVE	
COG2948	U	"Type IV secretory pathway, VirB10 component"	VirB10	
COG2949	M	"Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin"	SanA	
COG2951	M	Membrane-bound lytic murein transglycosylase B	MltB	
COG2952	S	"Uncharacterized conserved protein, DUF507 domain"		
COG2954	R	"CYTH domain, found in class IV adenylate cyclase and various triphosphatases"	CYTH	
COG2956	M	"Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain"	LapB	
COG2957	E	Agmatine/peptidylarginine deiminase	AguA	
COG2958	S	Uncharacterized conserved protein		
COG2959	R	"Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)"	HemX	
COG2960	H	Ubiquinone biosynthesis accessory factor UbiK	UbiK	
COG2961	J	23S rRNA A2030 N6-methylase RlmJ	RlmJ	23S rRNA modification
COG2962	R	"Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family"	RarD	
COG2963	X	Transposase InsE and inactivated derivatives	InsE	
COG2964	K	"Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains"	YheO	
COG2965	L	Primosomal replication protein N	PriB	
COG2966	S	"Uncharacterized membrane protein YjjP, DUF1212 family"	YjjP	
COG2967	P	Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport	ApaG	
COG2968	S	"Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain"	YggE	
COG2969	O	"Stringent starvation protein B, binds SsrA peptide"	SspB	
COG2971	G	"BadF-type ATPase, related to human N-acetylglucosamine kinase"	BadF	
COG2972	T	Sensor histidine kinase YesM	YesM	
COG2973	K	Trp operon repressor	TrpR	
COG2974	L	DNA recombination-dependent growth factor RdgC	RdgC	
COG2975	O	Fe-S-cluster formation regulator IscX/YfhJ	IscX	
COG2976	T	"Putative negative regulator of RcsB-dependent stress response, UPF0070 family"	YfgM	
COG2977	Q	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	EntD	
COG2978	H	p-Aminobenzoyl-glutamate transporter AbgT	AbgT	
COG2979	S	"Uncharacterized membrane protein YebE, DUF533 family"	YebE	
COG2980	M	Outer membrane lipoprotein LptE/RlpB (LPS assembly)	LptE	
COG2981	EP	Sulfate transporter CysZ	CysZ	
COG2982	M	Uncharacterized conserved protein AsmA involved in outer membrane biogenesis	AsmA	
COG2983	R	"Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family"	YcgN	
COG2984	R	"ABC-type uncharacterized transport system, periplasmic component"		
COG2985	R	"Uncharacterized membrane protein YbjL, putative transporter"	YbjL	
COG2986	E	Histidine ammonia-lyase	HutH	
COG2987	E	Urocanate hydratase	HutU	
COG2988	E	Succinylglutamate desuccinylase	AstE	
COG2989	M	"Murein L,D-transpeptidase YcbB/YkuD"	YcbB	
COG2990	S	"Outer membrane protein VirK/YbjX involved in antimicrobial peptide resistance, DUF535 family"	VirK	
COG2991	CO	Na+-NQR maturation protein NqrM	NqrM	Na+-translocating NADH dehydrogenase
COG2992	R	Uncharacterized FlgJ-related protein	Bax	
COG2993	C	"Cbb3-type cytochrome oxidase, cytochrome c subunit FixO"	CcoO	
COG2994	O	ACP:hemolysin acyltransferase (hemolysin-activating protein)	HlyC	
COG2995	M	Intermembrane transporter PqiABC subunit PqiA	PqiA	
COG2996	R	"Predicted RNA-binding protein YitL, contains S1 domains, virulence factor B family"	CvfB	
COG2998	P	"ABC-type tungstate transport system, permease component TupA"	TupB	
COG2999	O	Glutaredoxin 2	GrxB	
COG3000	I	"Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily"	ERG3	
COG3001	G	Fructosamine-3-kinase	FN3K	
COG3002	C	"Na+-translocating membrane potential-generating system subunit MpsB, UPF0753/DUF2309 family"	MpsB	
COG3004	CP	Na+/H+ antiporter NhaA	NhaA	
COG3005	C	Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase	NapC	
COG3006	D	"Chromosome condensin MukBEF, kleisin-like MukF subunit"	MukF	
COG3007	I	Trans-2-enoyl-CoA reductase		
COG3008	M	Intermembrane transporter PqiABC subunit PqiB	PqiB	
COG3009	M	Intermembrane transporter PqiABC lipoprotein subunit PqiC	PqiC	
COG3010	G	Putative N-acetylmannosamine-6-phosphate epimerase	NanE	
COG3011	R	"Predicted thiol-disulfide oxidoreductase YuxK, DCC family"	YuxK	
COG3012	S	"Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains"	YchJ	
COG3013	S	"Uncharacterized conserved protein YfbU, UPF0304 family"	YfbU	
COG3014	S	Uncharacterized conserved protein		
COG3015	MV	Uncharacterized lipoprotein NlpE involved in copper resistance	CutF	
COG3016	R	Putative heme-binding protein PhuW	PhuW	
COG3017	M	"Outer membrane lipoprotein LolB, involved in outer membrane biogenesis"	LolB	
COG3018	N	"Flagellar basal body lipoprotein FlgP, LPP20 family"	FlgP	
COG3019	S	"Uncharacterized metal-binding protein, DUF411 family"		
COG3021	R	"Uncharacterized conserved protein YafD, endonuclease/exonuclease/phosphatase (EEP) superfamily"	YafD	
COG3022	L	DNA-binding protein YaaA associated with the oxidative stress response	YaaA	
COG3023	M	N-acetyl-anhydromuramyl-L-alanine amidase AmpD	AmpD	
COG3024	L	"Endogenous inhibitor of DNA gyrase, YacG/DUF329 family"	YacG	
COG3025	P	"Inorganic triphosphatase YgiF, contains CYTH and CHAD domains"	PPPi	
COG3026	T	"RseB, negative regulator of sigma E activity"	RseB	
COG3027	D	"Cell division protein ZapA, inhibits GTPase activity of FtsZ"	ZapA	
COG3028	J	"Ribosomal 50S subunit-associated protein YjgA, DUF615 family"	YjgA	
COG3029	C	Fumarate reductase subunit C	FrdC	
COG3030	R	"FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family"	FxsA	
COG3031	U	"Type II secretory pathway, component PulC"	PulC	
COG3033	E	Tryptophanase	TnaA	
COG3034	M	"Murein L,D-transpeptidase YafK"	YafK	
COG3036	J	Stalled ribosome alternative rescue factor ArfA	ArfA	
COG3037	G	Ascorbate-specific PTS system IIC component UlaA	UlaA	
COG3038	C	Cytochrome b561	CybB	
COG3039	X	"Transposase and inactivated derivatives, IS5 family"	IS5	
COG3040	M	Bacterial lipocalin Blc	Blc	
COG3041	JV	"mRNA-degrading endonuclease YafQ (mRNA interferase), toxin component of the YafQ-DinJ toxin-antitoxin module"	YafQ	
COG3042	R	Putative hemolysin	Hlx	
COG3043	CP	Nitrate reductase cytochrome c-type subunit NapB	NapB	
COG3044	R	Predicted ATPase of the ABC class		
COG3045	T	Periplasmic catabolite regulation protein CreA (function unknown)	CreA	
COG3046	R	Uncharacterized conserved protein related to deoxyribodipyrimidine photolyase		
COG3047	M	Outer membrane protein OmpW	OmpW	
COG3048	E	D-serine dehydratase	DsdA	
COG3049	MR	"Penicillin V acylase or related amidase, Ntn superfamily"	YxeI	
COG3050	L	"DNA polymerase III, psi subunit"	HolD	
COG3051	C	"Citrate lyase, alpha subunit"	CitF	
COG3052	C	Acyl-carrier protein (citrate lyase gamma subunit)	CitD	
COG3053	C	Citrate lyase synthetase CitC	CitC	
COG3054	R	Predicted transcriptional regulator YtfJ	YtfJ	
COG3055	M	N-acetylneuraminic acid mutarotase	NanM	
COG3056	S	Uncharacterized lipoprotein YajG	YajG	
COG3057	L	Negative regulator of replication initiation SeqA	SeqA	
COG3058	CO	Formate dehydrogenase maturation protein FdhE	FdhE	
COG3059	V	"Reactive chlorine resistance protein RclC/YkgB, DUF417 family"	YkgB	
COG3060	KE	Transcriptional regulator MetJ (met regulon)	MetJ	
COG3061	D	Cell division protein YtfB/OapA (opacity-associated protein A)	OapA	
COG3062	O	Cytoplasmic chaperone NapD for the signal peptide of periplasmic nitrate reductase NapAB	NapD	
COG3063	NW	Type IV pilus assembly protein PilF/PilW	PilF	
COG3064	M	Membrane protein TolA involved in colicin uptake	TolA	
COG3065	M	Starvation-inducible outer membrane lipoprotein Slp	Slp	
COG3066	L	DNA mismatch repair protein MutH	MutH	
COG3067	CP	Na+/H+ antiporter NhaB	NhaB	
COG3068	S	"Uncharacterized conserved protein YjaG, DUF416 family"	YjaG	
COG3069	C	C4-dicarboxylate transporter DcuC	DcuC	
COG3070	K	"Transcriptional regulator of competence genes, TfoX/Sxy family"	TfoX	
COG3071	S	"Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)"	HemYx	
COG3072	T	"Adenylate cyclase, class I"	CyaA	
COG3073	T	"RseA, negative regulator of sigma E activity"	RseA	
COG3074	D	"Cell division protein ZapB, interacts with FtsZ"	ZapB	
COG3075	E	Anaerobic glycerol-3-phosphate dehydrogenase	GlpB	
COG3076	J	Regulator of RNase E activity RraB	RraB	
COG3077	V	Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module	RelB	
COG3078	J	"Ribosome assembly protein YihI, activator of Der GTPase"	YihI	
COG3079	S	"Uncharacterized conserved protein YgfB, UPF0149 family"	YgfB	
COG3080	C	Fumarate reductase subunit D	FrdD	
COG3081	L	dsDNA-binding nucleoid-associated protein YejK/NdpA	NdpA	
COG3082	S	"Uncharacterized conserved protein YejL, UPF0352 family"	YejL	
COG3083	MT	"Periplasmic protein PbgA/YejM, regulator of the LPS biosynthesis, AlkP superfamily"	YejM	
COG3084	S	"Uncharacterized conserved protein YihD, DUF1040 family"	YihD	
COG3085	S	"Uncharacterized conserved protein YifE, UPF0438 family"	YifE	
COG3086	T	"RseC, positive regulator of sigma E activity"	RseC	
COG3087	D	Cell division protein FtsN	FtsN	
COG3088	CO	Cytochrome c-type biogenesis protein CcmH/NrfF	NrfF	
COG3089	S	"Uncharacterized conserved protein YheU, UPF0270 family"	YheU	
COG3090	G	"TRAP-type C4-dicarboxylate transport system, small permease component YiaM"	DctM	
COG3091	R	"Predicted Zn-dependent metalloprotease, SprT family"	SprT	
COG3092	S	"Uncharacterized membrane protein YfbV, UPF0208 family"	YfbV	
COG3093	V	"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain"	VapI	
COG3094	S	Uncharacterized membrane protein SirB2	SirB2	
COG3095	D	"Chromosome condensin MukBEF, MukE localization factor"	MukE	
COG3096	D	"Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB"	MukB	
COG3097	S	"Uncharacterized conserved protein YqfB, UPF0267 family"	YqfB	
COG3098	S	"Uncharacterized conserved protein YqcC, DUF446 family"	YqcC	
COG3099	S	"Uncharacterized conserved protein YciU, UPF0263 family"	YciU	
COG3100	S	"Uncharacterized conserved protein YcgL, UPF0745 family"	YcgL	
COG3101	J	Elongation factor P hydroxylase EpmC (EF-P beta-lysylation pathway)	EpmC	
COG3102	R	"Uncharacterized conserved protein YecM, predicted metalloenzyme"	YecM	
COG3103	R	"Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family"	YgiM	
COG3104	E	Dipeptide/tripeptide permease	PTR2	
COG3105	S	"Uncharacterized membrane-anchored protein YhcB, DUF1043 family"	YhcB	
COG3106	T	"Ras-like GTP-binding stress-induced protein YcjX,  DUF463 family"	YcjX	
COG3107	M	"Outer membrane lipoprotein LpoA, binds and activates PBP1a"	LpoA	
COG3108	S	"Uncharacterized conserved protein YcbK, DUF882 family"	YcbK	
COG3109	T	sRNA-binding protein ProQ	ProQ	
COG3110	S	"Uncharacterized conserved protein YccT, UPF0319 family"	YccT	
COG3111	S	"Predicted periplasmic protein YdeI with OB-fold, BOF family"	YdeI	
COG3112	S	"Uncharacterized conserved protein YacL, UPF0231 family"	YacL	
COG3113	M	"Binding protein subunit MlaB of the ABC-type intermembrane phospholipid transporter Mla, contains STAS domain"	MlaB	
COG3114	U	Heme exporter protein D	CcmD	
COG3115	D	"Cell division protein ZipA, interacts with FtsZ"	ZipA	
COG3116	D	"Cell division protein FtsL, interacts with FtsB and FtsQ"	FtsL	
COG3117	M	Lipopolysaccharide export system protein LptC	YrbK	
COG3118	O	"Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family"	CnoX	
COG3119	P	"Arylsulfatase A or related enzyme, AlkP superfamily"	AslA	
COG3120	L	"Macrodomain Ter protein organizer, MatP/YcbG family"	MatP	
COG3121	W	"P pilus assembly protein, chaperone PapD"	FimC	
COG3122	S	"Uncharacterized conserved protein YaiL, DUF2058 family"	YaiL	
COG3123	F	"Pyrimidine/purine nucleoside phosphorylase YaiE/PpnP, UPF0345/DUF1255 family"	PpnP	
COG3124	I	Acyl carrier protein phosphodiesterase	AcpH	
COG3125	C	"Heme/copper-type cytochrome/quinol oxidase, subunit 4"	CyoD	
COG3126	S	Uncharacterized lipoprotein YbaY	YbaY	
COG3127	Q	"Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component"	YbbP	
COG3128	R	Predicted 2-oxoglutarate- and Fe(II)-dependent dioxygenase YbiX	PiuC	
COG3129	J	23S rRNA A1618 N6-methylase RlmF	RlmF	23S rRNA modification
COG3130	J	Ribosome modulation factor	Rmf	
COG3131	M	Periplasmic glucan biosynthesis protein OpgG	MdoG	
COG3132	S	"Uncharacterized conserved protein YceH, UPF0502 family"	YceH	
COG3133	M	Outer membrane lipoprotein SlyB	SlyB	
COG3134	S	"Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain"	YcfJ	
COG3135	Q	Predicted benzoate:H+ symporter BenE	BenE	
COG3136	S	"Dual-topology membrane protein YdgC, GlpM family"	GlpM	
COG3137	M	Putative salt-induced outer membrane protein YdiY	YdiY	
COG3138	E	Arginine/ornithine N-succinyltransferase beta subunit	AstA	
COG3139	S	"Uncharacterized conserved protein YeaC, DUF1315 family"	yeaC	
COG3140	S	"Uncharacterized conserved protein YoaH, UPF0181 family"	yoaH	
COG3141	L	"dsDNA-binding SOS-regulon protein YebG, induction by DNA damage requires cAMP"	YebG	
COG3142	P	Copper homeostasis protein CutC	CutC	
COG3143	NT	"Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P"	CheZ	
COG3144	N	Flagellar hook-length control protein FliK	FliK	
COG3145	L	Alkylated DNA repair dioxygenase AlkB	AlkB	
COG3146	R	Predicted N-acyltransferase		
COG3147	D	Cell division protein DedD (periplasmic protein involved in septation)	DedD	
COG3148	J	"tRNA U47 aminocarboxypropyltransferaseTapT/TuaA/ YfiP, DTW domain"	TapT	
COG3149	U	"Type II secretory pathway, component PulM"	PulM	
COG3150	R	"Predicted esterase YcpF, UPF0227 family"	YcfP	
COG3151	S	"Uncharacterized conserved protein YqiB, DUF1249 family"	yqiB	
COG3152	S	"Uncharacterized membrane protein YhaH, DUF805 family"	yhaH	
COG3153	R	Predicted N-acetyltransferase YhbS	yhbS	
COG3154	H	"Ubiquinone biosynthesis accessory factor UbiT, lipid carrier SCP2 domain"	UbiT	
COG3155	V	"Glyoxalase ElbB, DJ-1 superfamily"	ElbB	
COG3156	U	"Type II secretory pathway, component PulK"	PulK	
COG3157	U	Type VI protein secretion system component Hcp (secreted cytotoxin)	Hcp	
COG3158	P	K+ uptake protein Kup	Kup	
COG3159	S	"Uncharacterized conserved protein YigA, DUF484 family"	YigA	
COG3160	K	Regulator of sigma D	Rsd	
COG3161	H	4-hydroxybenzoate synthetase (chorismate-pyruvate lyase)	UbiC	Ubiquinone biosynthesis
COG3162	S	"Uncharacterized membrane protein, DUF485 family"	YjcH	
COG3164	S	"Uncharacterized conserved protein YhdP, contains DUF3971 and AsmA2 domains"	YhdR	
COG3165	H	"Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain"	UbiJ	
COG3166	NW	Type IV pilus assembly protein PilN	PilN	
COG3167	NW	Type IV pilus assembly protein PilO	PilO	
COG3168	NW	Type IV pilus assembly protein PilP	PilP	
COG3169	S	"Uncharacterized membrane protein, DMT/DUF486 family"		
COG3170	NW	Type IV pilus assembly protein FimV	FimV	
COG3171	S	"Uncharacterized conserved protein YggL, DUF469 family"	YggL	
COG3172	H	Nicotinamide riboside kinase	NadR3	NAD biosynthesis
COG3173	R	"Predicted  kinase, aminoglycoside phosphotransferase (APT) family"	YcbJ	
COG3174	P	"Membrane component of predicted Mg2+ transport system, contains DUF4010 domain"	MgtC	
COG3175	CO	Cytochrome c oxidase assembly protein Cox11	COX11	
COG3176	R	Putative hemolysin		
COG3177	K	Fic family protein		
COG3178	R	"Predicted phosphotransferase, aminoglycoside/choline kinase (APH/ChoK) family"		
COG3179	G	"Chitinase, GH19 family"	GH19	
COG3180	R	"Uncharacterized membrane protein AbrB, regulator of aidB expression"	AbrB	
COG3181	C	"Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC"	TctC	
COG3182	S	PepSY-associated TM region	PiuB	
COG3183	V	"Predicted restriction endonuclease, HNH family"		
COG3184	S	"Uncharacterized conserved protein, contains DUF2059 domain"		
COG3185	ER	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	HppD	
COG3186	E	Phenylalanine-4-hydroxylase	PhhA	
COG3187	O	Heat shock protein HslJ	HslJ	
COG3188	NW	Outer membrane usher protein FimD/PapC	FimD	
COG3189	S	"Uncharacterized conserved protein YeaO, DUF488 family"	YeaO	
COG3190	N	Flagellar biogenesis protein FliO	FliO	
COG3191	E	L-aminopeptidase/D-esterase	DmpA	
COG3192	E	"Ethanolamine transporter EutH, required for ethanolamine utilization at low pH"	EutH	
COG3193	T	"Heme-binding protein HbpS, GlcG/HbpS family"	GlcG	
COG3194	F	Ureidoglycolate hydrolase (allantoin degradation)	AllA	
COG3195	F	2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation)	PucL	
COG3196	R	"Colicin E2 tolerance protein CbrC, UPF0167 family"	CbrC	
COG3197	O	"Cytochrome oxidase maturation protein, CcoS/FixS family"	FixS	
COG3198	S	Uncharacterized conserved protein		
COG3199	F	NAD kinase		
COG3200	E	"3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II"	AroG2	Aromatic amino acid biosynthesis
COG3201	H	Nicotinamide riboside transporter PnuC	PnuC	
COG3202	C	ATP/ADP translocase	TlcC	
COG3203	M	Outer membrane porin OmpC/OmpF/PhoE	OmpC	
COG3204	R	Uncharacterized Ca-binding beta-propeller protein YjiK	YjiK	
COG3205	S	"Uncharacterized membrane protein, DUF2061 family"		
COG3206	M	Exopolysaccharide export protein/domain GumC/Wzc1	GumC	
COG3207	Q	Pyoverdine/dityrosine biosynthesis protein Dit1	Dit1	
COG3208	Q	Surfactin synthase thioesterase subunit	GrsT	
COG3209	R	"Uncharacterized conserved protein RhaS, contains 28 RHS repeats"	RhsA	
COG3210	U	Large exoprotein involved in heme utilization or adhesion	FhaB	
COG3211	R	"Secreted phosphatase, PhoX family"	PhoX	
COG3212	O	"PepSY domain containing protein, regulator of zincin peptidase activity"	YkoI	
COG3213	T	Nitric oxide response protein NnrS	NnrS	
COG3214	L	"DNA glycosylase YcaQ, repair of DNA interstrand crosslinks"	YcaQ	
COG3215	NW	Type IV pilus assembly protein PilZ	PilZ	
COG3216	S	"Uncharacterized conserved protein, DUF2062 family"		
COG3217	FV	"N-hydroxylaminopurine reductase subunit YcbX, contains MOSC domain"	YcbX	
COG3218	R	"ABC-type uncharacterized transport system, auxiliary component"		
COG3219	S	"Uncharacterized conserved protein, DUF2063 family"		
COG3220	S	"Uncharacterized conserved protein, UPF0276 family"		
COG3221	P	"ABC-type phosphate/phosphonate transport system, periplasmic component"	PhnD	
COG3222	S	"Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family"		
COG3223	R	Phosphate starvation-inducible membrane PsiE (function unknown)	PsiE	
COG3224	R	Antibiotic biosynthesis monooxygenase (ABM) superfamily enzyme		
